id,title,point,level,solved,wrong,no,tags,open,wp,unknown_flag,url
7067,[Reisen]NSSCTF2025入门题目-Tea,324,3.6,50,13,43,TEA|算法分析|C,True,True,,https://www.nssctf.cn/problem/7067
3512,[HGAME 2023 week3]cpp,327,2.5,49,24,29,REVERSE,True,False,,https://www.nssctf.cn/problem/3512
7061,[zzz26]NSSCTF2025入门题目-ida的使用,330,4.5,48,123,51,逆向技术|patch|REVERSE,True,True,,https://www.nssctf.cn/problem/7061
6851,[网络与数据安全挑战赛 2025]easyReee,333,3.5,47,29,28,XOR|逆向技术|算法分析|语言逆向,True,True,,https://www.nssctf.cn/problem/6851
4367,[羊城杯 2023]Blast,336,3.0,46,56,34,动态调试|REVERSE,True,False,,https://www.nssctf.cn/problem/4367
5931,[SWPUCTF 2024 秋季新生赛]wc，穹！！！,336,2.5,46,1,24,PYC|Base64|REVERSE,True,False,,https://www.nssctf.cn/problem/5931
4256,[NSSCTF 2nd]MyAPK,339,3.5,45,108,35,JAVA|安卓逆向,True,False,,https://www.nssctf.cn/problem/4256
2341,[CISCN 2022 初赛]baby_tree,342,2.8,44,19,30,Reverse|.ast|轮加密|XOR,True,False,,https://www.nssctf.cn/problem/2341
4278,[NSSCTF 2nd]Bytecode,342,3.5,44,19,16,bytecode|Python|RC4,True,False,,https://www.nssctf.cn/problem/4278
6406,[NSSRound#27 Basic]easyre,342,2.7,44,15,49,C|花指令|动态调试|自定义逻辑|REVERSE,True,False,,https://www.nssctf.cn/problem/6406
3008,[NSSRound#6 Team]void(V2),345,2.6,43,10,18,反调试|动态调试|REVERSE|constructor|base64,True,False,,https://www.nssctf.cn/problem/3008
7068,[Reisen]NSSCTF2025入门题目-UPX,345,3.1,43,33,44,C|UPX壳,True,True,,https://www.nssctf.cn/problem/7068
6547,[GHCTF 2025]Mio？Ryo？Soyo？,348,4.1,42,19,56,Python|REVERSE,True,True,,https://www.nssctf.cn/problem/6547
